"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031345","GO:0031345","negative regulation of cell projection organization","24/497","224/25730",0.107142857142857,5.54685254383443,9.5922150245454,1.35228500755602e-11,4.49793368818883e-09,2.91022225313961e-09,"Odf2l/Tacstd2/Sema6d/Nlgn1/Pmp22/Wnt5a/Thy1/Capzb/Draxin/Itga3/Adcy6/Arf6/Runx1t1/Sema5a/Ntm/Fat3/Neo1/Kank1/Ptk2/Rap1gap2/Efna1/Epha4/Rgma/Lrig2",24
"GO:0048762","GO:0048762","mesenchymal cell differentiation","26/497","265/25730",0.0981132075471698,5.0793819520899,9.36808172747437,1.40748930788207e-11,4.49793368818883e-09,2.91022225313961e-09,"Wwtr1/Bmpr1a/Sema6d/Msx1/Axin2/Osr1/Sfrp1/Bmp4/Wnt5a/Gdnf/Snai2/Erbb4/Sema6a/Tbx20/Sema5a/Sema7a/Ncam1/Pdcd4/Gata3/Nkx2-1/Ptk2/Tgfb3/Phox2b/Sema3d/Efna1/Epha4",26
"GO:0097485","GO:0097485","neuron projection guidance","26/497","265/25730",0.0981132075471698,5.0793819520899,9.36808172747437,1.40748930788207e-11,4.49793368818883e-09,2.91022225313961e-09,"Ntf3/Sema6d/Wnt5a/Ece1/Gdnf/Draxin/Sema6a/Kalrn/Fezf2/Ptprj/Dlx5/Sema5a/Neo1/Sema7a/Ank3/Ncam1/Gata3/Nkx2-1/Lmx1a/Dcc/Sema3d/Efna1/Epha4/Unc5c/Ablim1/Fezf1",26
"GO:0050807","GO:0050807","regulation of synapse organization","32/497","415/25730",0.0771084337349398,3.99195171026157,8.62372435147928,3.84011786097755e-11,1.1453791540009e-08,7.41075376679878e-09,"Il1rapl2/Podxl/Farp1/Nlgn1/Magi2/Lrrn1/Mdga2/Wnt5a/Grid2/Lrtm2/Elavl2/Arhgap22/Myo5b/Ntrk2/Erbb4/Kalrn/Lhfpl4/Arf6/Phactr1/Asic2/Sema7a/Ntrk3/Ank3/Ptk2/Cbln1/Map1b/Efna1/Epha4/Rapgef4/Ror2/Wnt7a/Chrna7",32
"GO:0021537","GO:0021537","telencephalon development","28/497","323/25730",0.086687306501548,4.48785592813849,8.85295606089385,4.40400215032381e-11,1.2314691012843e-08,7.96776704828321e-09,"Dmd/Kcna1/Bmp4/Wnt5a/Foxb1/Rarb/Alk/Id2/Draxin/Nrg3/Pou3f2/Ntrk2/Erbb4/Fezf2/Phactr1/Zswim6/Dlx5/Pou3f3/Id4/Sema7a/Sall1/Nkx2-1/Lmx1a/Lhx5/Sall3/Kirrel3/Six3/Fezf1",28
"GO:0035107","GO:0035107","appendage morphogenesis","21/497","181/25730",0.116022099447514,6.0065364563069,9.48625776254626,5.77901660445003e-11,1.2923228247632e-08,8.36149864268123e-09,"Bmpr1a/Msx1/Osr1/Bmp4/Wnt5a/Ece1/Rarb/Nfia/Fras1/Mecom/Dlx5/En1/Zbtb16/Sall1/Dlx6/Sall3/Ror2/Osr2/Cyp26b1/Wnt7a/Pbx1",21
"GO:0035108","GO:0035108","limb morphogenesis","21/497","181/25730",0.116022099447514,6.0065364563069,9.48625776254626,5.77901660445003e-11,1.2923228247632e-08,8.36149864268123e-09,"Bmpr1a/Msx1/Osr1/Bmp4/Wnt5a/Ece1/Rarb/Nfia/Fras1/Mecom/Dlx5/En1/Zbtb16/Sall1/Dlx6/Sall3/Ror2/Osr2/Cyp26b1/Wnt7a/Pbx1",21
"GO:0050803","GO:0050803","regulation of synapse structure or activity","32/497","424/25730",0.0754716981132075,3.907216886223,8.47137316655955,6.67514095497202e-11,1.2923228247632e-08,8.36149864268123e-09,"Il1rapl2/Podxl/Farp1/Nlgn1/Magi2/Lrrn1/Mdga2/Wnt5a/Grid2/Lrtm2/Elavl2/Arhgap22/Myo5b/Ntrk2/Erbb4/Kalrn/Lhfpl4/Arf6/Phactr1/Asic2/Sema7a/Ntrk3/Ank3/Ptk2/Cbln1/Map1b/Efna1/Epha4/Rapgef4/Ror2/Wnt7a/Chrna7",32
"GO:0060485","GO:0060485","mesenchyme development","28/497","329/25730",0.0851063829787234,4.40601053127274,8.72617125957749,6.77653475276508e-11,1.2923228247632e-08,8.36149864268123e-09,"Wwtr1/Bmpr1a/Sema6d/Msx1/Axin2/Osr1/Sfrp1/Bmp4/Wnt5a/Gdnf/Snai2/Erbb4/Sema6a/Tbx20/Sema5a/Pax1/Sema7a/Ncam1/Pdcd4/Gata3/Nkx2-1/Ptk2/Tgfb3/Phox2b/Sema3d/Efna1/Epha4/Thbs1",28
"GO:0048736","GO:0048736","appendage development","23/497","222/25730",0.103603603603604,5.36362318052459,9.1641191513482,7.1730253964906e-11,1.2923228247632e-08,8.36149864268123e-09,"Dmd/Bmpr1a/Msx1/Osr1/Bmp4/Wnt5a/Ece1/Rarb/Nfia/Fras1/Mecom/Dlx5/En1/Zbtb16/Sall1/Rspo3/Dlx6/Sall3/Ror2/Osr2/Cyp26b1/Wnt7a/Pbx1",23
