"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","17/416","464/25730",0.0366379310344828,2.2660912632626,3.52803989283233,0.00160337558574919,0.0236511579577064,0.0176034337706108,"Syk/Vegfa/Prkce/Cotl1/Prkcd/Dyrk1a/Capzb/Lcp1/P2rx7/Sorl1/Vasp/Ptpn11/Asap1/Slain2/Map3k7/Prrt2/Grb2",17
"GO:0051208","GO:0051208","sequestering of calcium ion","8/416","135/25730",0.0592592592592593,3.66524216524217,3.98018926094646,0.0016240032319159,0.0237220019447758,0.0176561625814645,"Cyba/Prkce/Ptpn6/Anxa6/P2rx7/Pde4d/Fkbp1a/P2ry6",8
"GO:0051983","GO:0051983","regulation of chromosome segregation","8/416","135/25730",0.0592592592592593,3.66524216524217,3.98018926094646,0.0016240032319159,0.0237220019447758,0.0176561625814645,"Rcc2/Dpf1/Anapc15-ps/Bcl7c/Nek6/Arid1a/Pum1/Smarce1",8
"GO:0007517","GO:0007517","muscle organ development","15/416","385/25730",0.038961038961039,2.40977772227772,3.57283196570215,0.00164336789829995,0.0237220019447758,0.0176561625814645,"Nr4a1/Notch1/Mef2d/Psma6/Smad7/Lef1/Lemd2/Smad3/Fkbp1a/Myh15/Ccnt2/Prr14/Foxp1/Btg2/Usp19",15
"GO:0001553","GO:0001553","luteinization","3/416","15/25730",0.2,12.3701923076923,5.64674149261747,0.00165208759495084,0.0237220019447758,0.0176561625814645,"Sgpl1/Runx1/Stat5b",3
"GO:0034638","GO:0034638","phosphatidylcholine catabolic process","3/416","15/25730",0.2,12.3701923076923,5.64674149261747,0.00165208759495084,0.0237220019447758,0.0176561625814645,"Pnpla8/Plb1/Scarb1",3
"GO:0045586","GO:0045586","regulation of gamma-delta T cell differentiation","3/416","15/25730",0.2,12.3701923076923,5.64674149261747,0.00165208759495084,0.0237220019447758,0.0176561625814645,"Syk/Lef1/Stat5b",3
"GO:0046643","GO:0046643","regulation of gamma-delta T cell activation","3/416","15/25730",0.2,12.3701923076923,5.64674149261747,0.00165208759495084,0.0237220019447758,0.0176561625814645,"Syk/Lef1/Stat5b",3
"GO:0097084","GO:0097084","vascular associated smooth muscle cell development","3/416","15/25730",0.2,12.3701923076923,5.64674149261747,0.00165208759495084,0.0237220019447758,0.0176561625814645,"Notch1/Vegfa/Smad6",3
"GO:0021697","GO:0021697","cerebellar cortex formation","4/416","32/25730",0.125,7.73137019230769,4.88434725744784,0.00169263571108063,0.0241217055861895,0.0179536599214289,"Rora/Psap/Cacna1a/Ptpn11",4
"GO:0032481","GO:0032481","positive regulation of type I interferon production","7/416","106/25730",0.0660377358490566,4.08449746008708,4.07935609774227,0.00169666786168478,0.0241217055861895,0.0179536599214289,"Syk/Flt3/Rab2b/Ptpn11/Hspd1/Zc3hav1/Map3k7",7
"GO:0033077","GO:0033077","T cell differentiation in thymus","7/416","106/25730",0.0660377358490566,4.08449746008708,4.07935609774227,0.00169666786168478,0.0241217055861895,0.0179536599214289,"Ifnar2/Clptm1/Zfp36l2/Tcf3/Lig4/Stat5b/Jag2",7
"GO:0032640","GO:0032640","tumor necrosis factor production","10/416","202/25730",0.0495049504950495,3.06192878903275,3.77153969016415,0.00174698187096471,0.0246746916546061,0.0183652445740218,"Syk/Nod2/Cyba/Flt3/Gpnmb/Ptpn6/Fcgr1/Ptpn11/Il4/Foxp1",10
"GO:0032680","GO:0032680","regulation of tumor necrosis factor production","10/416","202/25730",0.0495049504950495,3.06192878903275,3.77153969016415,0.00174698187096471,0.0246746916546061,0.0183652445740218,"Syk/Nod2/Cyba/Flt3/Gpnmb/Ptpn6/Fcgr1/Ptpn11/Il4/Foxp1",10
"GO:0045930","GO:0045930","negative regulation of mitotic cell cycle","11/416","239/25730",0.0460251046025105,2.84669697457354,3.67687514273409,0.0018717915875995,0.0263446947317861,0.0196082191724928,"Gpnmb/Crlf3/Ppp2r3d/Anapc15-ps/Wac/Zfp36l2/Rpa2/Pdik1l/Hexim2/Jade1/Heca",11
"GO:0051170","GO:0051170","import into nucleus","10/416","204/25730",0.0490196078431373,3.03190987933635,3.73513130893775,0.00187837678623624,0.0263446947317861,0.0196082191724928,"Nr4a1/Notch1/Nos3/Syk/Prkcd/Uaca/Dyrk1a/Prkcq/Ing1/Cabp1",10
"GO:0051279","GO:0051279","regulation of release of sequestered calcium ion into cytosol","6/416","80/25730",0.075,4.63882211538461,4.17868722326516,0.00189091183421953,0.0263446947317861,0.0196082191724928,"Cyba/Prkce/Ptpn6/Pde4d/Fkbp1a/P2ry6",6
"GO:0032633","GO:0032633","interleukin-4 production","4/416","33/25730",0.121212121212121,7.49708624708625,4.78753674810906,0.00190179193806508,0.0263446947317861,0.0196082191724928,"Syk/Lef1/Prkcq/Icosl",4
"GO:0032673","GO:0032673","regulation of interleukin-4 production","4/416","33/25730",0.121212121212121,7.49708624708625,4.78753674810906,0.00190179193806508,0.0263446947317861,0.0196082191724928,"Syk/Lef1/Prkcq/Icosl",4
"GO:0045063","GO:0045063","T-helper 1 cell differentiation","4/416","33/25730",0.121212121212121,7.49708624708625,4.78753674810906,0.00190179193806508,0.0263446947317861,0.0196082191724928,"Lef1/Cracr2a/Il4/Relb",4
"GO:0006816","GO:0006816","calcium ion transport","17/416","472/25730",0.0360169491525424,2.22768293676662,3.45092460092907,0.00191822366443508,0.0263648795037306,0.0196232425931954,"Nos3/Cyba/Cacng4/Prkce/Mcur1/Ptpn6/Anxa6/P2rx7/Gck/Cracr2a/Cacna1a/Pde4d/Fkbp1a/P2ry6/Smdt1/Atp2a3/Fbxo11",17
"GO:0042088","GO:0042088","T-helper 1 type immune response","5/416","55/25730",0.0909090909090909,5.62281468531468,4.39957103089004,0.00193193750150273,0.0263648795037306,0.0196232425931954,"Vegfa/Lef1/Cracr2a/Il4/Relb",5
"GO:0043547","GO:0043547","positive regulation of GTPase activity","5/416","55/25730",0.0909090909090909,5.62281468531468,4.39957103089004,0.00193193750150273,0.0263648795037306,0.0196232425931954,"Rcc2/Sipa1l1/Rgs1/Sh3bp1/Apc2",5
